HitCorrect,age,comments,description,discr_checkbox,discr_comments,endTime,enjoyment,experiment_id,img_file,img_id,languages,mistake_checkbox,mistake_comments,page_context,page_title,q1_sliderval,q1_type,q2_sliderval,q2_type,q3_sliderval,q3_type,q4_sliderval,q4_type,q5_sliderval,q5_type,rt_article_read_seconds,rt_qs_noimage_seconds,rt_qs_wimage_seconds,rt_trial,section_title,startDate,startTime,timeSpent,trial_number,caption,submission_id,section_context
1,32,,Portolá Expedition Camp,FALSE,,1679353805111,1,pilot-study-experiment.json,https://upload.wikimedia.org/wikipedia/commons/c/c1/Whitehouse_Campsite.jpg,27.jpg,English,FALSE,,"List table of the properties and districts — listed on the California Historical Landmarks — within San Mateo County, California.
Note: Click the ""Map of all coordinates"" link to the right to view a Google map of all properties and districts with latitude and longitude coordinates in the table below.","California Historical Landmarks in San Mateo County, California","['1', '1']",reconstructive,"['5', '5']",no_irrelevant,"['2', '1']",all_relevant,"['2', '3']",image_fit,"['1', '1']",overall,14.409,42.731,31.038,88.178,Listings,Mon Mar 20 2023 16:04:07 GMT-0700 (Pacific Daylight Time),1679353447480,5.960516666666670,1,,-NR0HMkX1dkOVEQrCHz5,
1,32,,Rillito Race Track Historic District,FALSE,,1679353805111,1,pilot-study-experiment.json,https://upload.wikimedia.org/wikipedia/commons/8/89/Rillito_Downs_grandstand_and_tower_1.JPG,2.jpg,English,FALSE,,"This is a list of the National Register of Historic Places listings in Pima County, Arizona.
This is intended to be a complete list of the properties and districts on the National Register of Historic Places in Pima County, Arizona, United States. The locations of National Register properties and districts for which the latitude and longitude coordinates are included below, may be seen in a map.
There are 193 properties and districts listed on the National Register in the county, including 4 that are also National Historic Landmarks. Three properties formerly listed have been removed from the National Register.
This National Park Service list is complete through NPS recent listings posted July 17, 2020.","National Register of Historic Places listings in Pima County, Arizona","['2', '2']",reconstructive,"['5', '5']",no_irrelevant,"['2', '1']",all_relevant,"['3', '2']",image_fit,"['1', '1']",overall,19.736,34.529,30.531,84.796,Current listings,Mon Mar 20 2023 16:04:07 GMT-0700 (Pacific Daylight Time),1679353447480,5.960516666666670,2,,-NR0HMkX1dkOVEQrCHz5,
1,32,,A big pavillion in the middle of a park on a sunny day. There are many trees.,FALSE,,1679353805111,1,pilot-study-experiment.json,,640px-parc_agen.jpg,English,FALSE,,"Sculpture is the branch of the visual arts that operates in three dimensions. Sculpture is the three-dimensional art work which is physically presented in the dimensions of height, width and depth. It is one of the plastic arts. Durable sculptural processes originally used carving (the removal of material) and modelling (the addition of material, as clay), in stone, metal, ceramics, wood and other materials but, since Modernism, there has been an almost complete freedom of materials and process. A wide variety of materials may be worked by removal such as carving, assembled by welding or modelling, or moulded or cast.",Sculpture,"['4', '4']",reconstructive,"['4', '5']",no_irrelevant,"['3', '3']",all_relevant,"['4', '3']",image_fit,"['3', '2']",overall,2.44,27.956,21.58,51.976,,Mon Mar 20 2023 16:04:07 GMT-0700 (Pacific Daylight Time),1679353447480,5.960516666666670,3,Sculptures are often placed at the center of public parks.,-NR0HMkX1dkOVEQrCHz5,
1,32,,Temple of Diana at Weston Park,FALSE,,1679353805111,1,pilot-study-experiment.json,https://upload.wikimedia.org/wikipedia/commons/4/4c/The_Temple_-_geograph.org.uk_-_1523609.jpg,4.jpg,English,FALSE,,"There are over 9000 Grade I listed buildings in England. This page is a list of these buildings in the county of Staffordshire, by district.",Grade I listed buildings in Staffordshire,"['1', '1']",reconstructive,"['5', '5']",no_irrelevant,"['2', '2']",all_relevant,"['3', '3']",image_fit,"['1', '1']",overall,1.734,18.456,14.944,35.134,South Staffordshire,Mon Mar 20 2023 16:04:07 GMT-0700 (Pacific Daylight Time),1679353447480,5.960516666666670,4,,-NR0HMkX1dkOVEQrCHz5,
1,32,,Wayne County Courthouse in Fairfield,FALSE,,1679353805111,1,pilot-study-experiment.json,https://upload.wikimedia.org/wikipedia/commons/0/04/Wayne_County_Courthouse_in_Fairfield.jpg,17.jpg,English,FALSE,,"Wayne County is a county located in the U.S. state of Illinois. According to the 2010 census, it had a population of 16,760. Its county seat is Fairfield. It is located in the southern portion of Illinois known locally as ""Little Egypt"".","Wayne County, Illinois","['1', '1']",reconstructive,"['5', '5']",no_irrelevant,"['2', '3']",all_relevant,"['4', '4']",image_fit,"['1', '1']",overall,4.357,24.362,15.252,43.971,,Mon Mar 20 2023 16:04:07 GMT-0700 (Pacific Daylight Time),1679353447480,5.960516666666670,5,Wayne County Courthouse in Fairfield,-NR0HMkX1dkOVEQrCHz5,
404,27,,"Street clock and (at right) post office. The legend on the clock says ""Live better electrically."" The post office is listed on the National Register of Historic Places.",FALSE,,1679354716970,0,pilot-study-experiment.json,https://upload.wikimedia.org/wikipedia/commons/2/21/Okanogan%2C_WA_-_street_clock_and_post_office.jpg,7.jpg,English,FALSE,,"Okanogan is a city in Okanogan County, Washington, United States. The population was 2,552 at the 2010 census, within the Greater Omak Area. It is the seat of Okanogan County.
It has a small commuter airfield, Okanogan Legion Airport – with one paved runway of 2,533 ft in length.","Okanogan, Washington","['2', '4']",image_fit,"['4', '3']",no_irrelevant,"['2', '2']",reconstructive,"['2', '3']",all_relevant,"['2', '3']",overall,18.809,43.575,29.862,92.246,Sister city,Mon Mar 20 2023 16:09:38 GMT-0700 (Pacific Daylight Time),1679353778821,15.635816666666700,1,,-NR0Kq62lz21M8yzc9zI,"Okanogan has one Sister City, according to the Washington State Lt. Governor's list of Washington Sister Cities:
 Keremeos, British Columbia, Canada"
404,27,,"Isabelle Boulay, March 2008",FALSE,,1679354716970,0,pilot-study-experiment.json,https://upload.wikimedia.org/wikipedia/commons/6/67/Isabelle_Boulay.jpg,26.jpg,English,TRUE,Says the birth year of the singer but then it says the year of the picture taken of that particular singer. That might be confusing to some.,"Isabelle Boulay, CQ is a French Canadian singer.",Isabelle Boulay,"['4', '2']",image_fit,"['2', '3']",no_irrelevant,"['1', '1']",reconstructive,"['2', '2']",all_relevant,"['1', '1']",overall,3.894,28.246,119.871,152.011,,Mon Mar 20 2023 16:09:38 GMT-0700 (Pacific Daylight Time),1679353778821,15.635816666666700,2,"Isabelle Boulay, March 2008",-NR0Kq62lz21M8yzc9zI,"Isabelle Boulay, CQ (born 6 July 1972) is a French Canadian singer."
404,27,,The Château of Rochetaillée-sur-Saône,FALSE,,1679354716970,0,pilot-study-experiment.json,http://upload.wikimedia.org/wikipedia/commons/5/52/Ch%C3%A2teau_de_Rochetaill%C3%A9e-sur-Sa%C3%B4ne_2.JPG,24.jpg,English,FALSE,,Rochetaillée-sur-Saône is a commune in the Metropolis of Lyon in Auvergne-Rhône-Alpes region in eastern France.,Rochetaillée-sur-Saône,"['4', '4']",image_fit,"['4', '4']",no_irrelevant,"['3', '3']",reconstructive,"['3', '4']",all_relevant,"['3', '2']",overall,5.759,19.889,15.05,40.698,,Mon Mar 20 2023 16:09:38 GMT-0700 (Pacific Daylight Time),1679353778821,15.635816666666700,3,The Château of Rochetaillée-sur-Saône,-NR0Kq62lz21M8yzc9zI,
404,27,,An image of the Kamyanets-Podilskyi fortress,FALSE,,1679354716970,0,pilot-study-experiment.json,https://upload.wikimedia.org/wikipedia/commons/b/b3/Kamianets-Podilskyi_Castle_old.jpg,10.jpg,English,FALSE,,List of all Shevchenko National Prize laureates ordered by year of reception including the Soviet period.,List of Shevchenko National Prize laureates,"['1', '1']",image_fit,"['4', '5']",no_irrelevant,"['1', '1']",reconstructive,"['1', '1']",all_relevant,"['1', '1']",overall,10.792,13.92,12.433,37.145,1960s,Mon Mar 20 2023 16:09:38 GMT-0700 (Pacific Daylight Time),1679353778821,15.635816666666700,4,,-NR0Kq62lz21M8yzc9zI,"1962
1963
1964
1965
1966
1967
1968
1969"
404,27,,A big pavillion in the middle of a park on a sunny day. There are many trees.,FALSE,,1679354716970,0,pilot-study-experiment.json,,640px-parc_agen.jpg,English,FALSE,,"Sculpture is the branch of the visual arts that operates in three dimensions. Sculpture is the three-dimensional art work which is physically presented in the dimensions of height, width and depth. It is one of the plastic arts. Durable sculptural processes originally used carving (the removal of material) and modelling (the addition of material, as clay), in stone, metal, ceramics, wood and other materials but, since Modernism, there has been an almost complete freedom of materials and process. A wide variety of materials may be worked by removal such as carving, assembled by welding or modelling, or moulded or cast.",Sculpture,"['4', '5']",image_fit,"['2', '3']",no_irrelevant,"['4', '4']",reconstructive,"['4', '5']",all_relevant,"['3', '5']",overall,14.033,328.895,11.522,354.45,,Mon Mar 20 2023 16:09:38 GMT-0700 (Pacific Daylight Time),1679353778821,15.635816666666700,5,Sculptures are often placed at the center of public parks.,-NR0Kq62lz21M8yzc9zI,
